scenario,window_index,start_time_sec,end_time_sec,state,label,audio_rms,audio_peak,audio_crest_factor,audio_kurtosis,audio_hilbert_env_mean,audio_hilbert_env_std,audio_hilbert_env_peak,audio_hilbert_env_crest,audio_hilbert_env_kurtosis,audio_shockwave_energy_ratio,audio_shockwave_pulse_count,audio_stft_2k8_db,audio_stft_harmonic_db,audio_spectral_centroid
abnormal_high_speed_20kph,237,169.2838,169.9975,abnormal,1,0.04135,0.148311,3.5867,-0.2144,0.052321,0.026119,0.161663,3.0899,-0.0991,0.1852,100,-57.28,-64.66,3643.4
abnormal_high_speed_20kph,238,169.9989,170.7088,abnormal,1,0.044427,0.16454,3.7036,-0.2412,0.056427,0.02763,0.166699,2.9542,-0.1873,0.1793,85,-59.01,-64.65,3564.7
abnormal_high_speed_20kph,239,170.7137,171.4236,abnormal,1,0.037898,0.141428,3.7318,-0.1155,0.047669,0.0245,0.154901,3.2495,-0.0316,0.1897,90,-56.7,-64.89,3655.3
abnormal_high_speed_20kph,240,171.4276,172.1389,abnormal,1,0.0341,0.129995,3.8122,0.0481,0.042554,0.022687,0.141366,3.322,0.131,0.2024,107,-57.1,-64.88,3729.1
abnormal_high_speed_20kph,241,172.1419,172.8534,abnormal,1,0.031151,0.127289,4.0862,0.2534,0.038536,0.021348,0.129977,3.3729,0.2749,0.2135,104,-57.0,-65.15,3754.0
abnormal_high_speed_20kph,242,172.8576,173.5678,abnormal,1,0.029095,0.124355,4.2741,0.2915,0.035945,0.020025,0.12789,3.5579,0.6884,0.2208,110,-56.47,-65.22,3811.9
abnormal_high_speed_20kph,243,173.5689,174.282,abnormal,1,0.026841,0.140415,5.2313,0.4764,0.032928,0.018886,0.144036,4.3743,0.9644,0.2331,101,-58.59,-65.12,3887.5
abnormal_high_speed_20kph,244,174.2833,174.9977,abnormal,1,0.025418,0.117723,4.6315,0.3908,0.031361,0.017568,0.120354,3.8377,0.9105,0.228,106,-58.41,-65.21,3905.0
abnormal_high_speed_20kph,245,174.9989,175.7088,abnormal,1,0.024901,0.133453,5.3593,0.2892,0.030866,0.016953,0.139992,4.5355,0.922,0.2189,111,-58.49,-65.26,3910.7
abnormal_high_speed_20kph,246,175.7133,176.4233,abnormal,1,0.025118,0.108329,4.3128,0.1771,0.031185,0.017009,0.114568,3.6738,0.4971,0.2132,111,-56.8,-64.92,3950.6
abnormal_high_speed_20kph,247,176.4278,177.1388,abnormal,1,0.027043,0.121108,4.4784,0.2278,0.033479,0.018489,0.125935,3.7617,0.3656,0.2109,94,-57.49,-64.73,3931.6
abnormal_high_speed_20kph,248,177.1421,177.8532,abnormal,1,0.029712,0.128378,4.3207,0.0425,0.037143,0.019648,0.129429,3.4846,0.3528,0.2037,104,-59.52,-64.17,3959.1
abnormal_high_speed_20kph,249,177.8578,178.5678,abnormal,1,0.030749,0.123144,4.0049,0.0233,0.038469,0.020275,0.132312,3.4394,0.3143,0.2021,93,-58.76,-65.07,3815.5
abnormal_high_speed_20kph,250,178.5687,179.2822,abnormal,1,0.029287,0.112321,3.8352,0.0652,0.036527,0.019524,0.116258,3.1828,0.2747,0.2069,108,-59.25,-65.14,3854.9
abnormal_high_speed_20kph,251,179.2831,179.9979,abnormal,1,0.029485,0.12738,4.3202,0.1914,0.036565,0.020042,0.129653,3.5458,0.389,0.2105,104,-59.13,-65.02,3855.2
abnormal_high_speed_20kph,252,179.9988,180.7089,abnormal,1,0.030315,0.127366,4.2013,-0.0077,0.037972,0.019903,0.132151,3.4802,0.1651,0.1977,99,-59.07,-64.81,3868.8
abnormal_high_speed_20kph,253,180.713,181.423,abnormal,1,0.026619,0.149983,5.6345,0.1412,0.033319,0.017519,0.155196,4.6579,1.0358,0.204,121,-59.44,-65.29,3913.6
abnormal_high_speed_20kph,254,181.4279,182.1387,abnormal,1,0.028183,0.130339,4.6248,0.6204,0.034415,0.020102,0.135003,3.9227,1.3785,0.2469,76,-57.54,-65.15,4000.6
abnormal_high_speed_20kph,255,182.1422,182.853,abnormal,1,0.033524,0.156149,4.6578,0.3582,0.041349,0.023194,0.164939,3.9889,0.8516,0.2271,84,-58.27,-64.44,3920.4
abnormal_high_speed_20kph,256,182.858,183.568,abnormal,1,0.037135,0.175466,4.7251,0.3122,0.045994,0.025349,0.18565,4.0364,0.8783,0.2186,81,-58.47,-64.63,3802.6
abnormal_high_speed_20kph,257,183.5688,184.2823,abnormal,1,0.037737,0.145438,3.854,-0.065,0.047289,0.024737,0.147791,3.1253,-0.055,0.1945,88,-58.18,-64.8,3772.1
abnormal_high_speed_20kph,258,184.2828,184.9982,abnormal,1,0.041339,0.152091,3.6791,-0.118,0.052043,0.026633,0.154278,2.9644,-0.0745,0.1901,83,-58.26,-64.12,3764.2
abnormal_high_speed_20kph,259,184.9986,185.7086,abnormal,1,0.04401,0.157021,3.5679,-0.1944,0.055688,0.027795,0.169244,3.0391,-0.076,0.185,87,-57.34,-64.04,3725.1
abnormal_high_speed_20kph,260,185.7128,186.4231,abnormal,1,0.047212,0.196978,4.1722,-0.2943,0.060113,0.029058,0.206876,3.4415,-0.0319,0.1764,87,-58.15,-64.11,3639.6
